unavailable,J.R.R. Tolkien,The Hobbit
available,J.K. Rowling,Harry Potter and the Sorcerer's Stone
available,Suzanne Collins,The Hunger Games
available,Stephenie Meyer,Twilight
available,Harper Lee,To Kill a Mockingbird
available,F. Scott Fitzgerald,The Great Gatsby
available,John Green,The Fault in Our Stars
available,J.D. Salinger,The Catcher in the Rye
available,Dan Brown,Angels & Demons
available,Jane Austen,Pride and Prejudice
available,Khaled Hosseini,The Kite Runner
available,George Orwell,1984
available,George Orwell,Animal Farm
available,Stieg Larsson,The Girl with the Dragon Tattoo
available,Suzanne Collins,Catching Fire
available,J.K. Rowling,Harry Potter and the Prisoner of Azkaban
available,J.R.R. Tolkien,The Fellowship of the Ring
available,Suzanne Collins,Mockingjay
available,J.K. Rowling,Harry Potter and the Order of the Phoenix
available,Alice Sebold,The Lovely Bones
available,J.K. Rowling,Harry Potter and the Chamber of Secrets
available,J.K. Rowling,Harry Potter and the Goblet of Fire
available,J.K. Rowling,Harry Potter and the Deathly Hallow
available,Dan Brown,The Da Vinci Code
available,J.K. Rowling,Harry Potter and the Half-Blood Prince
available,William Golding,Lord of the Flies
available,William Shakespeare,Romeo and Juliet
available,Gillian Flynn,Gone Girl
available,Kathryn Stockett,The Help
available,John Steinbeck,Of Mice and Men
available,Arthur Golden,Memoirs of a Geisha
available,Lois Lowry,The Giver
available,The Lion,The Lion, the Witch, and the Wardrobe
available,Audrey Niffenegger,The Time Traveler's Wife
available,George R.R. Martin,A Game of Thrones
available,Rick Riordan,The Lightning Thief
available,Louisa May Alcott,Little Women
available,Charlotte Bronte,Jane Eyre
available,Nicholas Sparks,The Notebook
available,Yann Martel,Life of Pi
available,Sara Gruen,Water for Elephants
available,Markus Zusak,The Book Thief
available,Ray Bradbury,Fahrenheit 451
available,Stephenie Meyer,New Moon
available,Shel Silverstein,Where the Sidewalk Ends
available,Cassandra Clare,City of Bones
available,Stephenie Meyer,Eclipse
available,Christopher Paolini,Eragon
available,Douglas Adams,The Hitchhiker's Guide to the Galaxy
available,Aldous Huxley,Brave New World
available,Stephenie Meyer,Breaking Dawn
available,Sue Monk Kidd,The Secret Life of Bees
available,Mark Twain,The Adventures of Huckleberry Finn
available,E.B. White,Charlotte's Web
available,Mark Haddon,The Curious Incident of the Dog in the Night-Time
available,Paula Hawkins,The Girl on the Train
available,Philip Pullman,The Golden Compass
available,Emily Bronte,Wuthering Heights
available,Jodi Picoult,My Sister's Keeper
available,Kurt Vonnegut Jr.,Slaughterhouse-Five
available,Margaret Mitchell,Gone with the Wind
available,Khaled Hosseini,A Thousand Splendid Suns
available,Stephen Chbosky,The Perks of Being a Wallflower
available,Veronica Roth,Insurgent
available,Orson Scott Card,Ender's Game
available,Mary Wollstonecraft Shelley,Frankenstein
available,Stephenie Meyer,The Host
available,John Green,Looking for Alaska
available,Jane Austen,Sense and Sensibility
available,Louis Sachar,Holes
available,Lauren Weisberger,The Devil Wears Prada
available,Homer,The Odyssey
available,Jeannette Walls,The Glass Castle
available,Jon Krakauer,Into the Wild
available,Charles Dickens,A Tale of Two Cities
available,Michael Crichton,Jurassic Park
available,Shel Silverstein,The Giving Tree
available,John Grisham,A Time to Kill
available,Elie Wiesel,Night
available,John Green,Paper Towns
available,William Goldman,The Princess Bride
available,S.E. Hinton,The Outsiders
available,James Dashner,The Maze Runner
available,Frances Hodgson Burnett,The Secret Garden
available,Stieg Larsson,The Girl Who Played with Fire
available,J.R.R. Tolkien,The Two Towers
available,J.R.R. Tolkien,The Return of the King
available,Robert Jordan,Eye of the World
available,Robin Hobb,Assassin's Apprentice
available,Michael J. Sullivan,Age of Myth
available,C.S. Lewis,Out of the Silent Planet
